config_id,reducer,clusterer,k,k_effective,noise_ratio,silhouette,davies_bouldin,calinski_harabasz,dbcv,bic,hdbscan_impl
C01,pca,kmeans,3,3,0.0,0.27981912033537776,1.4936652066202054,90.0118467178084,,,
C02,pca,gmm,3,3,0.0,0.1773511450812574,2.006368039300506,61.67211296494054,,11557.80435571316,
C03,pca,agglo,3,3,0.0,0.2527458439321166,1.653278674660571,79.56553882643993,,,
C04,pca,hdbscan,0,0,1.0,,,,,,hdbscan
C05,umap,kmeans,3,3,0.0,0.42685016989707947,0.8362928408991254,546.9784959147751,,,
C06,umap,gmm,9,9,0.0,0.338603675365448,1.0965531903314387,396.69232799935537,,-4582.077301743005,
C07,umap,agglo,3,3,0.0,0.431531697511673,0.7189696627786198,516.3775681930937,,,
C08,umap,hdbscan,2,2,0.22674418604651161,0.5723927021026611,0.5894503845884006,584.1665313737698,0.19963689261201162,,hdbscan
C09,identity,kmeans,3,3,0.0,0.20706412474776992,2.03323285281543,54.550807550650994,,,
C10,identity,gmm,3,3,0.0,0.14116057027025375,2.2553521855775664,45.45395311745412,,10501.095039192216,
C11,identity,agglo,3,3,0.0,0.1595925912044269,2.217312360785119,44.10208546119375,,,
C12,identity,hdbscan,0,0,1.0,,,,,,hdbscan
